KEY,TICKER,DATE,TIME,CLOSE
401,SBER,2024-05-21,10:00:00,298.10956109368
402,SBER,2024-05-21,11:00:00,298.10956109368
403,SBER,2024-05-21,12:00:00,298.10956109368
404,SBER,2024-05-21,13:00:00,298.10956109368
405,SBER,2024-05-21,14:00:00,298.10956109368
406,SBER,2024-05-21,15:00:00,298.10956109368
407,SBER,2024-05-21,16:00:00,298.10956109368
408,SBER,2024-05-21,17:00:00,298.10956109368
409,SBER,2024-05-21,18:00:00,298.10956109368
410,SBER,2024-05-21,20:00:00,298.10956109368
411,SBER,2024-05-21,21:00:00,298.10956109368
412,SBER,2024-05-21,22:00:00,298.10956109368
413,SBER,2024-05-21,23:00:00,298.10956109368
414,SBER,2024-05-22,10:00:00,298.10956109368
415,SBER,2024-05-22,11:00:00,298.10956109368
416,SBER,2024-05-22,12:00:00,298.10956109368
417,SBER,2024-05-22,13:00:00,298.10956109368
418,SBER,2024-05-22,14:00:00,298.10956109368
419,SBER,2024-05-22,15:00:00,298.10956109368
420,SBER,2024-05-22,16:00:00,298.10956109368
421,SBER,2024-05-22,17:00:00,298.10956109368
422,SBER,2024-05-22,18:00:00,298.10956109368
423,SBER,2024-05-22,20:00:00,298.10956109368
424,SBER,2024-05-22,21:00:00,298.10956109368
425,SBER,2024-05-22,22:00:00,298.10956109368
426,SBER,2024-05-22,23:00:00,298.10956109368
427,SBER,2024-05-23,10:00:00,298.10956109368
428,SBER,2024-05-23,11:00:00,298.10956109368
429,SBER,2024-05-23,12:00:00,298.10956109368
430,SBER,2024-05-23,13:00:00,298.10956109368
431,SBER,2024-05-23,14:00:00,298.10956109368
432,SBER,2024-05-23,15:00:00,298.10956109368
433,SBER,2024-05-23,16:00:00,298.10956109368
434,SBER,2024-05-23,17:00:00,298.10956109368
435,SBER,2024-05-23,18:00:00,298.10956109368
436,SBER,2024-05-23,20:00:00,298.10956109368
437,SBER,2024-05-23,21:00:00,298.10956109368
438,SBER,2024-05-23,22:00:00,298.10956109368
439,SBER,2024-05-23,23:00:00,298.10956109368
440,SBER,2024-05-24,10:00:00,298.10956109368
441,SBER,2024-05-24,11:00:00,298.10956109368
442,SBER,2024-05-24,12:00:00,298.10956109368
443,SBER,2024-05-24,13:00:00,298.10956109368
444,SBER,2024-05-24,14:00:00,298.10956109368
445,SBER,2024-05-24,15:00:00,298.10956109368
446,SBER,2024-05-24,16:00:00,298.10956109368
447,SBER,2024-05-24,17:00:00,298.10956109368
448,SBER,2024-05-24,18:00:00,298.10956109368
449,SBER,2024-05-24,20:00:00,298.10956109368
